state, color
'California', 0
'Arizona', 1
'NewMexico', 0
'Oklahoma', 1
'Colorado', 2
'Wyoming', 0
'SouthDakota', 1
'Iowa', 0
'Wisconsin', 1
'Indiana', 0
'Ohio', 3
'Michigan', 2
'Illinois', 3
'Kentucky', 1
'Virginia', 0
'NorthCarolina', 1
'Georgia', 0
'Alabama', 1
'Mississippi', 2
'Arkansas', 0
'Tennessee', 3
'Missouri', 2
'Kansas', 0
'Nebraska', 3
'RhodeIsland', 0
'Connecticut', 1
'NewYork', 0
'Pennsylvania', 1
'NewJersey', 2
'Delaware', 0
'Maryland', 3
'WestVirginia', 2
'Minnesota', 2
'NorthDakota', 0
'Montana', 2
'Idaho', 1
'Utah', 3
'Nevada', 2
'Oregon', 3
'Washington', 0
'SouthCarolina', 2
'Louisiana', 1
'Texas', 2
'NewHampshire', 0
'Vermont', 1
'Massachusetts', 2
'Florida', 2
'Alaska', 0
'Hawaii', 0
'Maine', 1
